	000	001	002	003	004	005	006	007	010	011	012	013	014	015	016	017	020	021	022	023	024	025	026	027	030	031	032	033	034	035	036	037	040	041	042	043	044	045	046	047	050	051	052	053	054	055	056	057	060	061	062	063	064	065	066	067	070	071	072	073	074	075	076	077	100	101	102	103	104	105	106	107	110	111	112	113	114	115	116	117	120	121	122	123	124	125	126	127	130	131	132	133	134	135	136	137	140	141	142	143	144	145	146	147	150	151	152	153	154	155	156	157	160	161	162	163	164	165	166	167	170	171	172	173	174	175	176	177	200	201	202	203	204	205	206	207	210	211	212	213	214	215	216	217	220	221	222	223	224	225	226	227	230	231	232	233	234	235	236	237	240	241	242	243	244	245	246	247	250	251	252	253	254	255	256	257	260	261	262	263	264	265	266	267	270	271	272	273	274	275	276	277	300	301	302	303	304	305	306	307	310	311	312	313	314	315	316	317	320	321	322	323	324	325	326	327	330	331	332	333	334	335	336	337	340	341	342	343	344	345	346	347	350	351	352	353	354	355	356	357	360	361	362	363	364	365	366	367	370	371	372	373	374	375	376	377
000	0	1	2	3	4	5	6	7	1	2	3	4	5	6	7	8	2	3	4	5	6	7	8	9	3	4	5	6	7	8	9	10	4	5	6	7	8	9	10	11	5	6	7	8	9	10	11	12	6	7	8	9	10	11	12	13	7	8	9	10	11	12	13	14	12	13	14	15	16	17	18	19	13	14	15	16	17	18	19	20	14	15	16	17	18	19	20	21	15	16	17	18	19	20	21	22	16	17	18	19	20	21	22	23	17	18	19	20	21	22	23	24	18	19	20	21	22	23	24	25	19	20	21	22	23	24	25	26	12	13	14	15	16	17	18	19	13	14	15	16	17	18	19	20	14	15	16	17	18	19	20	21	15	16	17	18	19	20	21	22	16	17	18	19	20	21	22	23	17	18	19	20	21	22	23	24	18	19	20	21	22	23	24	25	19	20	21	22	23	24	25	26	24	25	26	27	28	29	30	31	25	26	27	28	29	30	31	32	26	27	28	29	30	31	32	33	27	28	29	30	31	32	33	34	28	29	30	31	32	33	34	35	29	30	31	32	33	34	35	36	30	31	32	33	34	35	36	37	31	32	33	34	35	36	37	38
001	1	0	1	2	3	4	5	6	2	1	2	3	4	5	6	7	3	2	3	4	5	6	7	8	4	3	4	5	6	7	8	9	5	4	5	6	7	8	9	10	6	5	6	7	8	9	10	11	7	6	7	8	9	10	11	12	8	7	8	9	10	11	12	13	11	12	13	14	15	16	17	18	12	13	14	15	16	17	18	19	13	14	15	16	17	18	19	20	14	15	16	17	18	19	20	21	15	16	17	18	19	20	21	22	16	17	18	19	20	21	22	23	17	18	19	20	21	22	23	24	18	19	20	21	22	23	24	25	13	12	13	14	15	16	17	18	14	13	14	15	16	17	18	19	15	14	15	16	17	18	19	20	16	15	16	17	18	19	20	21	17	16	17	18	19	20	21	22	18	17	18	19	20	21	22	23	19	18	19	20	21	22	23	24	20	19	20	21	22	23	24	25	23	24	25	26	27	28	29	30	24	25	26	27	28	29	30	31	25	26	27	28	29	30	31	32	26	27	28	29	30	31	32	33	27	28	29	30	31	32	33	34	28	29	30	31	32	33	34	35	29	30	31	32	33	34	35	36	30	31	32	33	34	35	36	37
002	2	1	0	1	2	3	4	5	3	2	1	2	3	4	5	6	4	3	2	3	4	5	6	7	5	4	3	4	5	6	7	8	6	5	4	5	6	7	8	9	7	6	5	6	7	8	9	10	8	7	6	7	8	9	10	11	9	8	7	8	9	10	11	12	10	11	12	13	14	15	16	17	11	12	13	14	15	16	17	18	12	13	14	15	16	17	18	19	13	14	15	16	17	18	19	20	14	15	16	17	18	19	20	21	15	16	17	18	19	20	21	22	16	17	18	19	20	21	22	23	17	18	19	20	21	22	23	24	14	13	12	13	14	15	16	17	15	14	13	14	15	16	17	18	16	15	14	15	16	17	18	19	17	16	15	16	17	18	19	20	18	17	16	17	18	19	20	21	19	18	17	18	19	20	21	22	20	19	18	19	20	21	22	23	21	20	19	20	21	22	23	24	22	23	24	25	26	27	28	29	23	24	25	26	27	28	29	30	24	25	26	27	28	29	30	31	25	26	27	28	29	30	31	32	26	27	28	29	30	31	32	33	27	28	29	30	31	32	33	34	28	29	30	31	32	33	34	35	29	30	31	32	33	34	35	36
003	3	2	1	0	1	2	3	4	4	3	2	1	2	3	4	5	5	4	3	2	3	4	5	6	6	5	4	3	4	5	6	7	7	6	5	4	5	6	7	8	8	7	6	5	6	7	8	9	9	8	7	6	7	8	9	10	10	9	8	7	8	9	10	11	9	10	11	12	13	14	15	16	10	11	12	13	14	15	16	17	11	12	13	14	15	16	17	18	12	13	14	15	16	17	18	19	13	14	15	16	17	18	19	20	14	15	16	17	18	19	20	21	15	16	17	18	19	20	21	22	16	17	18	19	20	21	22	23	15	14	13	12	13	14	15	16	16	15	14	13	14	15	16	17	17	16	15	14	15	16	17	18	18	17	16	15	16	17	18	19	19	18	17	16	17	18	19	20	20	19	18	17	18	19	20	21	21	20	19	18	19	20	21	22	22	21	20	19	20	21	22	23	21	22	23	24	25	26	27	28	22	23	24	25	26	27	28	29	23	24	25	26	27	28	29	30	24	25	26	27	28	29	30	31	25	26	27	28	29	30	31	32	26	27	28	29	30	31	32	33	27	28	29	30	31	32	33	34	28	29	30	31	32	33	34	35
004	4	3	2	1	0	1	2	3	5	4	3	2	1	2	3	4	6	5	4	3	2	3	4	5	7	6	5	4	3	4	5	6	8	7	6	5	4	5	6	7	9	8	7	6	5	6	7	8	10	9	8	7	6	7	8	9	11	10	9	8	7	8	9	10	8	9	10	11	12	13	14	15	9	10	11	12	13	14	15	16	10	11	12	13	14	15	16	17	11	12	13	14	15	16	17	18	12	13	14	15	16	17	18	19	13	14	15	16	17	18	19	20	14	15	16	17	18	19	20	21	15	16	17	18	19	20	21	22	16	15	14	13	12	13	14	15	17	16	15	14	13	14	15	16	18	17	16	15	14	15	16	17	19	18	17	16	15	16	17	18	20	19	18	17	16	17	18	19	21	20	19	18	17	18	19	20	22	21	20	19	18	19	20	21	23	22	21	20	19	20	21	22	20	21	22	23	24	25	26	27	21	22	23	24	25	26	27	28	22	23	24	25	26	27	28	29	23	24	25	26	27	28	29	30	24	25	26	27	28	29	30	31	25	26	27	28	29	30	31	32	26	27	28	29	30	31	32	33	27	28	29	30	31	32	33	34
005	5	4	3	2	1	0	1	2	6	5	4	3	2	1	2	3	7	6	5	4	3	2	3	4	8	7	6	5	4	3	4	5	9	8	7	6	5	4	5	6	10	9	8	7	6	5	6	7	11	10	9	8	7	6	7	8	12	11	10	9	8	7	8	9	7	8	9	10	11	12	13	14	8	9	10	11	12	13	14	15	9	10	11	12	13	14	15	16	10	11	12	13	14	15	16	17	11	12	13	14	15	16	17	18	12	13	14	15	16	17	18	19	13	14	15	16	17	18	19	20	14	15	16	17	18	19	20	21	17	16	15	14	13	12	13	14	18	17	16	15	14	13	14	15	19	18	17	16	15	14	15	16	20	19	18	17	16	15	16	17	21	20	19	18	17	16	17	18	22	21	20	19	18	17	18	19	23	22	21	20	19	18	19	20	24	23	22	21	20	19	20	21	19	20	21	22	23	24	25	26	20	21	22	23	24	25	26	27	21	22	23	24	25	26	27	28	22	23	24	25	26	27	28	29	23	24	25	26	27	28	29	30	24	25	26	27	28	29	30	31	25	26	27	28	29	30	31	32	26	27	28	29	30	31	32	33
006	6	5	4	3	2	1	0	1	7	6	5	4	3	2	1	2	8	7	6	5	4	3	2	3	9	8	7	6	5	4	3	4	10	9	8	7	6	5	4	5	11	10	9	8	7	6	5	6	12	11	10	9	8	7	6	7	13	12	11	10	9	8	7	8	6	7	8	9	10	11	12	13	7	8	9	10	11	12	13	14	8	9	10	11	12	13	14	15	9	10	11	12	13	14	15	16	10	11	12	13	14	15	16	17	11	12	13	14	15	16	17	18	12	13	14	15	16	17	18	19	13	14	15	16	17	18	19	20	18	17	16	15	14	13	12	13	19	18	17	16	15	14	13	14	20	19	18	17	16	15	14	15	21	20	19	18	17	16	15	16	22	21	20	19	18	17	16	17	23	22	21	20	19	18	17	18	24	23	22	21	20	19	18	19	25	24	23	22	21	20	19	20	18	19	20	21	22	23	24	25	19	20	21	22	23	24	25	26	20	21	22	23	24	25	26	27	21	22	23	24	25	26	27	28	22	23	24	25	26	27	28	29	23	24	25	26	27	28	29	30	24	25	26	27	28	29	30	31	25	26	27	28	29	30	31	32
007	7	6	5	4	3	2	1	0	8	7	6	5	4	3	2	1	9	8	7	6	5	4	3	2	10	9	8	7	6	5	4	3	11	10	9	8	7	6	5	4	12	11	10	9	8	7	6	5	13	12	11	10	9	8	7	6	14	13	12	11	10	9	8	7	5	6	7	8	9	10	11	12	6	7	8	9	10	11	12	13	7	8	9	10	11	12	13	14	8	9	10	11	12	13	14	15	9	10	11	12	13	14	15	16	10	11	12	13	14	15	16	17	11	12	13	14	15	16	17	18	12	13	14	15	16	17	18	19	19	18	17	16	15	14	13	12	20	19	18	17	16	15	14	13	21	20	19	18	17	16	15	14	22	21	20	19	18	17	16	15	23	22	21	20	19	18	17	16	24	23	22	21	20	19	18	17	25	24	23	22	21	20	19	18	26	25	24	23	22	21	20	19	17	18	19	20	21	22	23	24	18	19	20	21	22	23	24	25	19	20	21	22	23	24	25	26	20	21	22	23	24	25	26	27	21	22	23	24	25	26	27	28	22	23	24	25	26	27	28	29	23	24	25	26	27	28	29	30	24	25	26	27	28	29	30	31
010	1	2	3	4	5	6	7	8	0	1	2	3	4	5	6	7	1	2	3	4	5	6	7	8	2	3	4	5	6	7	8	9	3	4	5	6	7	8	9	10	4	5	6	7	8	9	10	11	5	6	7	8	9	10	11	12	6	7	8	9	10	11	12	13	13	14	15	16	17	18	19	20	12	13	14	15	16	17	18	19	13	14	15	16	17	18	19	20	14	15	16	17	18	19	20	21	15	16	17	18	19	20	21	22	16	17	18	19	20	21	22	23	17	18	19	20	21	22	23	24	18	19	20	21	22	23	24	25	11	12	13	14	15	16	17	18	12	13	14	15	16	17	18	19	13	14	15	16	17	18	19	20	14	15	16	17	18	19	20	21	15	16	17	18	19	20	21	22	16	17	18	19	20	21	22	23	17	18	19	20	21	22	23	24	18	19	20	21	22	23	24	25	23	24	25	26	27	28	29	30	24	25	26	27	28	29	30	31	25	26	27	28	29	30	31	32	26	27	28	29	30	31	32	33	27	28	29	30	31	32	33	34	28	29	30	31	32	33	34	35	29	30	31	32	33	34	35	36	30	31	32	33	34	35	36	37
